page,section,component,current_copy,purpose,classification,issue,recommended_action,proposed_copy,seo_sensitive,factual_dependency,notes
/c/*,whatsappMessage,src/data/campaigns.ts:93,"Hola, quiero mejorar mi sonrisa, pero deseo recibir orientación antes de elegir un tratamiento. ¿Me ayudan con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quiero mejorar mi sonrisa. ¿Tienen disponibilidad para una valoración?",yes,no,
/c/*,shortCopy,src/data/campaigns.ts:96,Explora opciones para mejorar tu sonrisa.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Explora opciones para mejorar tu sonrisa.,yes,no,
/c/*,headline,src/data/campaigns.ts:97,Tu idea de sonrisa comienza con una valoración,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,¿Qué te gustaría cambiar de tu sonrisa?,yes,no,
/c/*,cta,src/data/campaigns.ts:100,Explorar opciones,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Explorar opciones,yes,no,
/c/*,name,src/data/campaigns.ts:107,Limpieza y profilaxis,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Limpieza y profilaxis,yes,no,
/c/*,whatsappMessage,src/data/campaigns.ts:117,"Hola, quiero agendar una limpieza o profilaxis dental. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera agendar una limpieza o profilaxis dental. ¿Tienen disponibilidad?",yes,no,
/c/*,shortCopy,src/data/campaigns.ts:120,Empieza tu cuidado preventivo con una valoración.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Consulta por limpieza o profilaxis.,yes,no,
/c/*,headline,src/data/campaigns.ts:121,¿Estás pensando en una limpieza dental?,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,¿Estás pensando en una limpieza dental?,yes,no,
/c/*,cta,src/data/campaigns.ts:124,Ver orientación de limpieza,Action / choice,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Ver información,yes,no,
/c/*,name,src/data/campaigns.ts:131,Ortodoncia,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Ortodoncia,yes,no,
/c/*,whatsappMessage,src/data/campaigns.ts:141,"Hola, quiero consultar una valoración para ortodoncia. ¿Me ayudan con disponibilidad en Carepa?",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera información sobre ortodoncia. ¿Tienen disponibilidad para una valoración?",yes,no,
/c/*,shortCopy,src/data/campaigns.ts:144,Conoce el punto de partida para ortodoncia.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Conoce el punto de partida para ortodoncia.,yes,no,
/c/*,headline,src/data/campaigns.ts:145,La ortodoncia empieza por entender tu caso,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,La ortodoncia empieza por entender tu caso,yes,no,
/c/*,cta,src/data/campaigns.ts:148,Ver orientación de ortodoncia,Action / choice,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Ver información,yes,no,
/c/*,name,src/data/campaigns.ts:155,Valoración general,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Valoración general,yes,no,
/c/*,whatsappMessage,src/data/campaigns.ts:165,"Hola, quiero agendar una valoración odontológica general. Estoy en Carepa o cerca. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera agendar una valoración general. ¿Tienen disponibilidad?",yes,no,
/c/*,shortCopy,src/data/campaigns.ts:168,Empieza con una valoración general.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Empieza con una valoración general.,yes,no,
/c/*,headline,src/data/campaigns.ts:169,"Cuando no sabes por dónde empezar, empieza por valorar",Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Puedes empezar por una valoración general,yes,no,
/c/*,cta,src/data/campaigns.ts:172,Ver orientación de valoración,Action / choice,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Ver información,yes,no,
/c/*,name,src/data/campaigns.ts:179,"Carepa, veredas y Urabá",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Carepa, veredas y Urabá",yes,no,
/c/*,whatsappMessage,src/data/campaigns.ts:188,"Hola, estoy en Carepa, una vereda cercana o la región de Urabá y quiero consultar disponibilidad para una valoración odontológica. ¿Me orientan?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, estoy en Carepa o en otro municipio de Urabá. ¿Tienen disponibilidad para una valoración?",yes,no,
/c/*,shortCopy,src/data/campaigns.ts:191,Orientación odontológica para Carepa y Urabá.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Consultas odontológicas para Carepa y Urabá.,yes,no,
/c/*,headline,src/data/campaigns.ts:192,Un punto de partida cercano para Carepa y Urabá,Heading / scanning,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Atención odontológica en Carepa,yes,no,
/c/*,cta,src/data/campaigns.ts:195,Elegir mi necesidad,Action / choice,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Elegir una opción,yes,no,
/#que-necesitas,title,src/data/conversionJourneys.ts:26,Tengo dolor o una molestia,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Tengo dolor o una molestia,no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:33,Dolor dental,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Dolor dental,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:36,"Hola, tengo dolor dental y quiero consultar disponibilidad para una valoración. Estoy en Carepa o cerca.",Prefilled WhatsApp message,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Hola, tengo dolor dental. ¿Tienen disponibilidad para valorarme?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:42,Inflamación,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Inflamación,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:45,"Hola, tengo inflamación en la boca o encía y quiero consultar disponibilidad para una valoración. Estoy en Carepa o cerca.",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, tengo inflamación en la boca o la encía. ¿Tienen disponibilidad para valorarme?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:51,Diente fracturado,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Diente fracturado,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:54,"Hola, tengo un diente fracturado y quiero consultar disponibilidad para una valoración. Estoy en Carepa o cerca.",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, tengo un diente fracturado. ¿Tienen disponibilidad para valorarme?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:60,Restauración o corona caída,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Restauración o corona caída,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:63,"Hola, se me cayó una restauración o corona y quiero consultar disponibilidad para una valoración en Carepa.",Prefilled WhatsApp message,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Hola, se me cayó una restauración o una corona. ¿Tienen disponibilidad para valorarme?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:69,Otra urgencia,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Otra urgencia,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:72,"Hola, tengo una urgencia odontológica y quiero consultar disponibilidad para una valoración. Estoy en Carepa o cerca.",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, tengo una urgencia odontológica. ¿Tienen disponibilidad para atenderme?",no,no,
/#que-necesitas,title,src/data/conversionJourneys.ts:80,Quiero mejorar mi sonrisa,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Quiero mejorar mi sonrisa,no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:87,Blanqueamiento,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Blanqueamiento,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:90,"Hola, quiero aclarar el tono de mis dientes y deseo consultar una valoración para blanqueamiento. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre blanqueamiento dental. ¿Tienen disponibilidad para una valoración?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:95,Diseño o microdiseño de sonrisa,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Diseño o microdiseño de sonrisa,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:98,"Hola, quiero mejorar mi sonrisa y deseo consultar una valoración para diseño o microdiseño. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,REWRITE,Overexplained or difficult to scan,REWRITE,"Hola, quisiera información sobre diseño o microdiseño de sonrisa. ¿Tienen disponibilidad para una valoración?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:103,Resinas estéticas,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Resinas estéticas,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:106,"Hola, quiero consultar una valoración para resinas estéticas. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera información sobre resinas estéticas. ¿Tienen disponibilidad para una valoración?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:111,Ortodoncia,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Ortodoncia,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:114,"Hola, quiero consultar una valoración para ortodoncia. ¿Me ayudan con disponibilidad en Carepa?",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera información sobre ortodoncia. ¿Tienen disponibilidad para una valoración?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:119,Armonización orofacial,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Armonización orofacial,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:122,"Hola, quiero consultar una valoración para armonización orofacial. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera información sobre armonización orofacial. ¿Tienen disponibilidad para una valoración?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:127,No sé cuál necesito,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,No sé cuál necesito,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:130,"Hola, quiero mejorar mi sonrisa, pero no sé qué tratamiento necesito. ¿Me ayudan con disponibilidad para una valoración?",Prefilled WhatsApp message,REWRITE,Overexplained or difficult to scan,REWRITE,"Hola, quiero mejorar mi sonrisa, pero no sé qué tratamiento necesito. ¿Tienen disponibilidad para una valoración?",no,no,
/#que-necesitas,title,src/data/conversionJourneys.ts:136,Quiero cuidar mi salud oral,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Quiero una revisión o limpieza,no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:143,Valoración general,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Valoración general,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:146,"Hola, quiero agendar una valoración odontológica general. Estoy en Carepa o cerca. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera agendar una valoración general. ¿Tienen disponibilidad?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:150,Limpieza o profilaxis,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Limpieza o profilaxis,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:153,"Hola, quiero agendar una limpieza o profilaxis dental. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera agendar una limpieza o profilaxis dental. ¿Tienen disponibilidad?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:158,Consulta para un niño,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Consulta para un niño,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:161,"Hola, quiero consultar disponibilidad para una valoración odontológica para un niño en Carepa.",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera agendar una consulta odontológica para un niño. ¿Tienen disponibilidad?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:166,Diente perdido o rehabilitación,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Diente perdido o rehabilitación,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:169,"Hola, quiero consultar una valoración por un diente perdido o rehabilitación oral. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,REWRITE,Overexplained or difficult to scan,REWRITE,"Hola, quisiera consultar por un diente perdido o por rehabilitación oral. ¿Tienen disponibilidad?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:174,Consulta especializada,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Consulta especializada,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:177,"Hola, quiero consultar disponibilidad para una valoración odontológica especializada en Carepa.",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, necesito una consulta odontológica especializada. ¿Tienen disponibilidad?",no,no,
/#que-necesitas,label,src/data/conversionJourneys.ts:181,No sé qué tratamiento necesito,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,No sé qué tratamiento necesito,no,no,
/#que-necesitas,whatsappMessage,src/data/conversionJourneys.ts:184,"Hola, quiero agendar una valoración, pero no sé qué tratamiento necesito. ¿Me ayudan con disponibilidad?",Prefilled WhatsApp message,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Hola, quisiera agendar una valoración, pero no sé qué tratamiento necesito. ¿Tienen disponibilidad?",no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:19,Odontología general y preventiva,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Odontología general y preventiva,no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:20,"Revisión, prevención y restauraciones básicas según valoración profesional.",Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Consultas, prevención y restauraciones básicas.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:23,Consulta o valoración por odontología general,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Consulta o valoración por odontología general,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:25,"Primer paso para revisar salud oral, molestias o dudas de tratamiento.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Revisión de la salud oral, molestias o dudas de tratamiento.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:29,Limpieza dental,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Limpieza dental,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:31,"Cuidado preventivo para placa, encías y recomendaciones de higiene.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Remoción de placa y revisión del cuidado de las encías.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:35,Profilaxis,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Profilaxis,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:37,Orientación preventiva y control de higiene oral según cada caso.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Limpieza y recomendaciones de higiene oral.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:41,Calzas en resina,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Calzas en resina,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:43,Restauraciones del color del diente cuando el diagnóstico lo permite.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Restauraciones del color del diente cuando el diagnóstico lo permite.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:47,Cambio de amalgamas por resinas estéticas,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Cambio de amalgamas por resinas estéticas,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:49,Revisión de restauraciones antiguas y alternativas estéticas responsables.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Revisión de restauraciones antiguas y opciones de reemplazo.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:53,Extracciones simples,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Extracciones simples,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:54,Valoración para definir si una extracción simple es necesaria y viable.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Revisión para saber si es necesario extraer el diente.,no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:60,Odontología estética,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Odontología estética,no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:61,Opciones estéticas explicadas con expectativas realistas y valoración previa.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Opciones para cambiar el color, la forma o la apariencia de los dientes.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:64,Odontología estética,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Odontología estética,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:66,"Orientación para revisar forma, color, armonía y salud oral.",Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Revisión de forma, color y salud oral.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:70,Blanqueamiento dental,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Blanqueamiento dental,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:72,"Evaluación de tono, sensibilidad y cuidados antes de iniciar.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Evaluación de tono, sensibilidad y cuidados antes de iniciar.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:76,Diseño de sonrisa,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Diseño de sonrisa,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:78,Planeación estética responsable según salud oral y expectativas.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Planeación de cambios según la salud oral y lo que quieres mejorar.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:82,Microdiseño de sonrisa,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Microdiseño de sonrisa,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:84,"Revisión de ajustes conservadores de forma, color o proporción.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Revisión de ajustes conservadores de forma, color o proporción.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:88,Resinas estéticas,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Resinas estéticas,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:90,Restauraciones estéticas para casos definidos en valoración.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Restauraciones del color del diente para mejorar forma y función.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:94,Coronas dentales,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Coronas dentales,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:96,Alternativa restaurativa que requiere diagnóstico y planificación.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Restauración para cubrir y proteger un diente cuando corresponde.,no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:102,Ortodoncia y desarrollo maxilar,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Ortodoncia y desarrollo maxilar,no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:103,"Valoración de alineación dental, mordida y desarrollo maxilar.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Valoración de alineación dental, mordida y desarrollo maxilar.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:106,Ortodoncia,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Ortodoncia,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:108,"Revisión de alineación, mordida y alternativas de manejo.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Revisión de alineación, mordida y alternativas de manejo.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:112,Ortopedia maxilar,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Ortopedia maxilar,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:114,Orientación para casos que requieren valoración del desarrollo maxilar.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Revisión del crecimiento y desarrollo de los maxilares.,no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:120,Rehabilitación oral,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Rehabilitación oral,no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:121,"Opciones para recuperar función, comodidad y piezas dentales ausentes.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Opciones para recuperar función, comodidad y piezas dentales ausentes.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:124,Prótesis dentales,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Prótesis dentales,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:126,Alternativas para recuperar función masticatoria y comodidad.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Alternativas para recuperar función masticatoria y comodidad.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:130,Implantología,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Implantología,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:132,Valoración para revisar si los implantes son una opción en tu caso.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Valoración para revisar si los implantes son una opción en tu caso.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:136,Coronas dentales,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Coronas dentales,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:138,Restauración planificada según estructura dental y diagnóstico.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Restauración planificada según estructura dental y diagnóstico.,no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:144,"Endodoncia, cirugía y especialidades",Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,"Endodoncia, cirugía y especialidades",no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:145,"Orientación para dolor, cordales, casos especializados y remisiones.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Consultas por dolor, cordales y casos que necesitan especialista.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:148,Endodoncia,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Endodoncia,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:150,"Revisión de dolor, sensibilidad o señales que puedan requerir manejo interno del diente.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Revisión de dolor, sensibilidad o señales que puedan requerir manejo interno del diente.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:154,Extracción de cordales,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Extracción de cordales,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:156,"Valoración de terceros molares, molestias, inflamación o indicación quirúrgica.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Revisión de cordales por molestia, inflamación o posible extracción.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:160,Consulta por odontología especializada,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Consulta por odontología especializada,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:161,Orientación para definir el profesional o manejo adecuado.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Revisión para saber qué profesional debe atender el caso.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:165,Remisión a periodoncia,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Remisión a periodoncia,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:166,Orientación cuando se identifican necesidades relacionadas con encías o soporte dental.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Remisión para casos relacionados con encías o soporte dental.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:170,Remisión a odontopediatría,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Remisión a odontopediatría,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:171,Orientación para casos infantiles que requieren valoración especializada.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Remisión de casos infantiles que necesitan especialista.,no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:177,Atención infantil,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Atención infantil,no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:178,Orientación prudente para necesidades odontológicas en niños.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Consultas y remisiones odontológicas para niños.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:181,Remisión a odontopediatría,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Remisión a odontopediatría,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:182,Apoyo para dirigir casos infantiles hacia valoración especializada cuando aplica.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Remisión a especialista cuando el caso lo requiere.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:186,Exodoncias simples para niños,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Exodoncias simples para niños,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:187,Valoración previa para definir si el manejo corresponde y es oportuno.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Revisión previa para saber si corresponde extraer el diente.,no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:193,Armonización orofacial,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Armonización orofacial,no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:194,"Procedimientos estéticos que requieren valoración, criterio profesional y expectativas claras.",Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Procedimientos estéticos para el rostro, definidos después de una consulta.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:197,Perfilación y aumento de labios,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Perfilación y aumento de labios,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:199,Orientación estética responsable según valoración individual.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Consulta sobre forma, volumen y opciones para los labios.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:203,Rinomodelación con ácido hialurónico,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Rinomodelación con ácido hialurónico,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:205,Consulta para revisar si este procedimiento es adecuado en tu caso.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Consulta para revisar si este procedimiento es adecuado en tu caso.,no,no,
